days, mement, link
44 , 4 ,"https://www.techdirt.com/articles/20140811/05564728172/spains-ill-conceived-google-tax-law-likely-to-cause-immense-damage-to-digital-commons-open-access.shtml"
234 , 94 ,"http://www.whitehouse.gov/maker-faire"
2284 , 3 ,"http://www.youtube.com/watch?v=ces8hqSNSNg"
1028 , 32 ,"http://www.ustream.tv/channel/hclive02"
4313 , 262 ,"http://www.openp2p.com/pub/a/p2p/2002/12/11/piracy.html"
575 , 5 ,"http://www.marketplace.org/topics/tech/elon-musk-tesla-plan-gigafactory-site"
93 , 7 ,"http://www.huffingtonpost.com/lorelei-kelly/we-need-a-citizen-maker-m_b_5524157.html"
2455 , 4 ,"http://www.code-love.com/2014/02/21/defining-the-internet-of-things-in-one-line/"
351 , 18 ,"http://www.opencompute.org/blog/ocp-summit-v-keynote-videos/"
1378 , 73 ,"http://techcrunch.com/2014/02/15/is-tech-money-good-for-san-franciscos-middle-class-an-economists-perspective/"
521 , 13 ,"http://www.businessinsider.com/the-future-of-the-blockchain-2014-4"
190 , 4 ,"http://boingboing.net/2014/03/19/loomio-democratic-decision-ma.html"
201 , 3 ,"http://www.forbes.com/sites/aarontilley/2014/05/16/why-all-the-best-minds-are-starting-to-flock-to-hardware-not-software/"
